time_s,phase_deg,amp_10bit
0.081328125,92.8125,22
0.118046875,35.15625,12
0.15421875,326.25,47
0.165390625,167.34375,34
0.194921875,338.90625,25
0.203671875,137.8125,44
0.21046875,258.75,76
0.24078125,85.78125,86
0.258203125,39.375,12
0.295078125,343.125,33
0.405703125,175.78125,8
0.431640625,282.65625,42
0.449375,241.875,5
0.518515625,46.40625,52
0.547109375,202.5,36
0.56953125,246.09375,16
0.58625,187.03125,27
0.6090625,237.65625,25
0.663125,130.78125,63
0.686953125,201.09375,44
0.70578125,180,12
0.72921875,241.875,30
0.746484375,192.65625,22
0.80078125,91.40625,55
0.818359375,47.8125,8
0.8528125,307.96875,66
0.956015625,7.03125,32
0.9684375,230.625,35
0.98640625,194.0625,18
1.01359375,323.4375,13
1.0184375,50.625,56
1.03671875,21.09375,14
1.07046875,268.59375,56
1.087890625,222.1875,11
1.1184375,52.03125,61
1.2146875,345.9375,37
1.2309375,278.4375,32
1.241953125,116.71875,96
1.2775,37.96875,10
1.3246875,167.34375,10
1.3434375,144.84375,9
1.35,262.96875,77
1.367265625,215.15625,13
1.478984375,66.09375,60
1.50859375,240.46875,81
1.5390625,68.90625,71
1.573671875,331.875,58
1.5978125,46.40625,42
1.616171875,16.875,15
1.6434375,149.0625,7
1.6515625,293.90625,69
1.663359375,147.65625,67
1.751484375,293.90625,57
1.76265625,136.40625,74
1.773046875,323.4375,60
1.78453125,170.15625,32
1.799609375,81.5625,33
1.8128125,319.21875,82
1.822734375,137.8125,59
1.847109375,216.5625,58
1.868515625,241.875,6
1.90375,157.5,53
1.93703125,35.15625,5
1.96921875,255.9375,58
2.006015625,199.6875,21
2.086875,215.15625,11
2.1234375,153.28125,42
2.133046875,326.25,42
2.144609375,175.78125,25
2.167734375,230.625,30
2.201015625,111.09375,78
2.21421875,348.75,51
2.23703125,39.375,28
2.255859375,18.28125,11
2.31328125,333.28125,40
2.363515625,158.90625,41
2.385703125,196.875,25
2.40015625,97.03125,56
2.412734375,324.84375,78
2.42359375,160.3125,40
2.43296875,329.0625,36
2.439609375,88.59375,61
2.454453125,355.78125,44
2.496796875,37.96875,19
2.515859375,21.09375,8
2.553046875,330.46875,31
