time_s,phase_deg,amp_10bit
0.12765625,40.78125,34
0.12796875,46.40625,52
0.140078125,264.375,98
0.14671875,23.90625,27
0.1490625,66.09375,32
0.1715625,111.09375,30
0.179765625,258.75,192
0.18703125,29.53125,31
0.1878125,45,42
0.188828125,63.28125,27
0.189296875,70.3125,26
0.199453125,253.125,134
0.20828125,53.4375,54
0.209765625,78.75,33
0.22,262.96875,164
0.22796875,46.40625,43
0.22875,60.46875,33
0.239140625,248.90625,128
0.248359375,54.84375,55
0.24921875,68.90625,44
0.25921875,250.3125,150
0.26875,61.875,44
0.27,82.96875,33
0.28046875,272.8125,189
0.286953125,28.125,30
0.28765625,42.1875,38
0.288046875,49.21875,27
0.288984375,66.09375,34
0.29,84.375,46
0.2909375,99.84375,28
0.29953125,254.53125,117
0.299765625,260.15625,75
0.307421875,37.96875,37
0.30828125,52.03125,25
0.308984375,66.09375,48
0.32015625,265.78125,103
0.320859375,279.84375,76
0.326640625,23.90625,32
0.328046875,49.21875,37
0.32890625,63.28125,32
0.339453125,253.125,104
0.339921875,262.96875,78
0.347890625,46.40625,53
0.359609375,255.9375,103
0.367734375,43.59375,43
0.370078125,85.78125,31
0.378828125,241.875,143
0.38734375,36.5625,29
0.38828125,52.03125,43
0.389375,71.71875,33
0.40875,61.875,40
0.41015625,85.78125,41
0.418828125,243.28125,139
0.42734375,36.5625,31
0.429453125,74.53125,40
0.4296875,78.75,31
0.438984375,246.09375,85
0.447421875,37.96875,34
0.46,264.375,73
0.481484375,289.6875,35
0.488671875,60.46875,58
0.4996875,258.75,120
0.507265625,35.15625,28
0.508828125,63.28125,45
0.51015625,87.1875,30
0.519140625,248.90625,127
0.5271875,33.75,26
0.528671875,60.46875,39
0.52921875,70.3125,28
0.53921875,250.3125,143
0.546875,29.53125,27
0.5490625,67.5,36
0.559453125,254.53125,148
0.566953125,29.53125,31
0.569140625,68.90625,33
0.569453125,74.53125,73
0.56953125,75.9375,34
0.5790625,247.5,99
0.58,265.78125,29
0.58765625,42.1875,38
0.589140625,68.90625,35
0.589765625,80.15625,37
0.598984375,246.09375,150
0.607109375,32.34375,31
0.60984375,82.96875,30
0.610078125,87.1875,26
0.61953125,257.34375,113
0.627109375,33.75,30
0.62875,61.875,32
0.629765625,80.15625,40
0.63015625,88.59375,70
0.638984375,246.09375,137
0.648203125,52.03125,40
0.64859375,60.46875,37
0.658515625,237.65625,97
0.669296875,71.71875,39
0.67953125,255.9375,62
0.68046875,272.8125,93
0.6871875,33.75,34
0.6878125,45,43
0.698671875,241.875,25
0.69921875,250.3125,96
0.7003125,270,86
0.70765625,43.59375,40
0.708671875,61.875,36
0.708984375,66.09375,42
0.709140625,68.90625,49
0.719609375,257.34375,101
0.72765625,42.1875,41
0.728671875,61.875,39
0.72890625,64.6875,30
0.74,264.375,93
0.74765625,43.59375,41
0.7496875,78.75,41
0.759375,254.53125,120
0.766875,29.53125,28
0.769765625,81.5625,67
0.77890625,244.6875,186
0.78703125,30.9375,29
0.788515625,57.65625,29
0.789296875,73.125,44
0.79953125,255.9375,136
0.80703125,30.9375,26
0.8084375,57.65625,41
0.8196875,258.75,86
0.8203125,271.40625,27
0.82734375,37.96875,26
0.828203125,53.4375,40
0.828984375,66.09375,33
0.82953125,77.34375,32
0.839609375,258.75,156
0.847421875,39.375,28
0.848046875,50.625,38
0.84875,63.28125,34
0.859609375,258.75,82
0.86140625,291.09375,29
0.867578125,42.1875,31
0.86875,63.28125,30
0.8790625,248.90625,34
0.87984375,262.96875,96
0.887578125,42.1875,33
0.888671875,61.875,43
0.889140625,70.3125,42
0.8990625,248.90625,127
0.906875,29.53125,33
0.908125,52.03125,42
0.908359375,56.25,27
0.91,85.78125,34
0.918828125,244.6875,134
0.927109375,33.75,28
0.928203125,53.4375,38
0.928984375,67.5,36
0.929375,74.53125,26
0.92953125,77.34375,38
0.938828125,244.6875,32
0.939140625,250.3125,103
0.94703125,32.34375,27
0.9484375,57.65625,32
0.949296875,73.125,29
0.949609375,78.75,51
0.958671875,243.28125,36
0.95890625,246.09375,131
0.9684375,59.0625,27
0.969140625,70.3125,45
0.97015625,90,57
0.9775,222.1875,25
0.9784375,237.65625,103
0.987421875,39.375,29
0.988515625,59.0625,26
0.988984375,68.90625,27
0.989609375,78.75,40
0.999453125,255.9375,146
0.99953125,257.34375,28
1.007421875,40.78125,40
1.0084375,57.65625,49
1.00921875,71.71875,60
1.019375,254.53125,104
1.02796875,50.625,54
1.0296875,80.15625,29
1.040078125,268.59375,132
1.04734375,37.96875,42
1.048203125,53.4375,40
1.048984375,68.90625,29
1.059375,254.53125,26
1.059453125,255.9375,154
1.06734375,39.375,32
1.06796875,49.21875,37
1.068359375,57.65625,40
1.080078125,268.59375,80
1.087421875,40.78125,39
1.088671875,61.875,29
1.08875,64.6875,31
1.08921875,73.125,27
1.099140625,251.71875,135
1.106875,30.9375,27
1.10828125,56.25,36
1.1096875,81.5625,43
1.1190625,248.90625,133
1.12734375,39.375,37
1.1284375,59.0625,31
1.130390625,94.21875,36
1.138984375,248.90625,74
1.139140625,251.71875,53
1.13953125,258.75,59
1.147734375,45,36
1.148359375,57.65625,36
1.148515625,60.46875,32
1.148671875,61.875,40
1.159609375,258.75,188
1.166796875,29.53125,27
1.167734375,45,43
1.169296875,73.125,29
1.16953125,77.34375,25
1.179375,255.9375,142
1.186953125,30.9375,32
1.18828125,56.25,31
1.190625,98.4375,34
1.198203125,234.84375,85
1.209375,75.9375,29
1.2203125,271.40625,89
1.22671875,28.125,28
1.229453125,77.34375,38
1.22984375,84.375,30
1.239140625,251.71875,139
1.24671875,28.125,31
1.249609375,80.15625,34
1.250703125,99.84375,35
1.258671875,243.28125,125
