time_s,phase_deg,amp_10bit
0.137109375,126.5625,138
0.144609375,261.5625,746
0.1584375,150.46875,539
0.17296875,52.03125,50
0.248671875,336.09375,486
0.26375,247.5,115
0.280078125,181.40625,233
0.318125,146.25,176
0.32625,292.5,476
0.3609375,196.875,165
0.410625,12.65625,92
0.429921875,0,45
0.45375,68.90625,264
0.472578125,47.8125,49
0.502734375,230.625,487
0.524921875,271.40625,52
0.5371875,132.1875,623
0.548515625,336.09375,423
0.556796875,125.15625,450
0.568125,329.0625,491
0.600390625,189.84375,106
0.65,4.21875,43
0.731796875,36.5625,57
0.77734375,136.40625,60
0.789375,352.96875,252
0.8234375,247.5,209
0.84234375,227.8125,48
0.869921875,4.21875,220
0.88203125,222.1875,193
0.938203125,153.28125,318
0.954296875,84.375,114
0.97046875,15.46875,226
0.994296875,84.375,233
1.04421875,262.96875,722
1.069140625,351.5625,227
1.074921875,97.03125,342
1.086640625,306.5625,654
1.10203125,223.59375,43
1.123828125,257.34375,69
1.16203125,225,67
1.195078125,99.84375,655
1.209609375,1.40625,280
1.284140625,264.375,265
1.29875,167.34375,364
1.316640625,129.375,168
1.3228125,240.46875,564
1.3403125,195.46875,141
1.3925,56.25,337
1.42140625,216.5625,475
1.45265625,59.0625,424
1.470546875,21.09375,125
1.496796875,133.59375,97
1.502578125,237.65625,453
1.564453125,272.8125,73
1.588515625,345.9375,180
1.595625,113.90625,390
1.60734375,324.84375,554
1.640703125,205.3125,60
1.676328125,126.5625,404
1.706796875,316.40625,518
1.72421875,270,62
1.73609375,122.34375,637
1.77,14.0625,209
1.795546875,113.90625,182
1.8065625,312.1875,636
1.83390625,85.78125,620
1.85109375,33.75,90
1.906640625,315,412
1.950546875,26.71875,373
1.995,106.875,123
2.01015625,19.6875,170
2.039296875,184.21875,96
2.04953125,7.03125,41
2.053671875,82.96875,251
2.06453125,278.4375,720
2.078984375,178.59375,332
2.09359375,81.5625,267
2.1065625,316.40625,598
2.11796875,160.3125,315
2.162421875,240.46875,439
2.178046875,163.125,358
2.21609375,127.96875,125
2.225078125,289.6875,644
2.303671875,264.375,63
2.321015625,216.5625,96
2.3534375,81.5625,490
2.38796875,343.125,421
2.429296875,7.03125,122
2.463515625,264.375,332
2.473984375,92.8125,707
2.486640625,320.625,556
2.517265625,151.875,357
2.556015625,129.375,83
2.564375,279.84375,614
2.589453125,11.25,349
2.60859375,355.78125,64
2.632734375,71.71875,271
2.649609375,15.46875,169
2.704375,281.25,408
2.719765625,198.28125,171
2.775625,125.15625,380
2.789765625,19.6875,153
2.81296875,77.34375,157
2.846015625,312.1875,618
2.87796875,168.75,292
2.9228125,254.53125,336
2.96859375,358.59375,260
2.9859375,312.1875,230
2.9925,70.3125,552
3.007734375,344.53125,387
3.03859375,181.40625,62
3.06796875,348.75,46
3.08921875,11.25,104
3.099609375,198.28125,131
3.10953125,18.28125,145
3.1240625,278.4375,413
3.140703125,219.375,109
3.1678125,348.75,93
3.17421875,102.65625,385
3.1853125,302.34375,722
3.1965625,146.25,508
3.241796875,240.46875,493
3.259609375,201.09375,146
3.2834375,270,160
3.334140625,102.65625,638
3.348671875,5.625,262
3.371796875,61.875,217
3.390625,40.78125,66
3.42453125,291.09375,597
3.437109375,157.5,379
3.48,210.9375,261
3.503359375,270,121
3.518515625,182.8125,247
3.569375,19.6875,88
3.62015625,215.15625,269
3.6728125,81.5625,521
3.69734375,164.53125,187
3.7028125,262.96875,408
3.716015625,140.625,635
3.72828125,1.40625,167
3.7628125,262.96875,291
3.787578125,350.15625,219
3.79359375,98.4375,406
3.80375,281.25,769
3.821171875,233.4375,55
3.849921875,32.34375,411
3.908046875,360,88
3.929765625,30.9375,128
3.946953125,338.90625,236
3.95671875,156.09375,233
3.962734375,262.96875,424
3.97875,192.65625,200
4.013046875,90,362
4.0284375,7.03125,231
4.065546875,316.40625,260
4.091484375,61.875,565
4.10828125,4.21875,237
4.1425,261.5625,321
4.175,126.5625,635
4.196015625,144.84375,46
4.200859375,232.03125,429
4.235078125,129.375,613
4.24890625,18.28125,137
4.279453125,208.125,235
4.308515625,9.84375,166
4.3303125,43.59375,137
4.3634375,279.84375,607
4.394140625,112.5,655
4.407890625,1.40625,262
4.4559375,146.25,143
4.4859375,326.25,405
4.4984375,191.25,115
4.52046875,227.8125,145
4.578984375,201.09375,99
4.64328125,279.84375,188
4.65828125,189.84375,250
4.67734375,172.96875,87
4.682578125,267.1875,351
4.693984375,112.5,690
4.727421875,354.375,322
4.788203125,9.84375,44
4.842890625,274.21875,301
4.875234375,137.8125,544
4.913515625,106.875,72
4.925390625,319.21875,627
4.934609375,126.5625,545
4.945859375,329.0625,491
4.95875,201.09375,53
4.9796875,217.96875,56
5.000625,234.84375,48
5.03921875,209.53125,130
5.074140625,118.125,462
5.1015625,251.71875,819
5.11859375,198.28125,171
5.208515625,18.28125,203
5.2240625,299.53125,379
5.23421875,122.34375,624
5.261875,260.15625,637
5.29609375,156.09375,470
5.306015625,334.6875,274
5.3140625,119.53125,461
5.322109375,264.375,763
5.353984375,118.125,737
5.389609375,39.375,70
5.425078125,319.21875,429
5.458203125,195.46875,105
5.51609375,157.5,226
5.528125,14.0625,57
5.54578125,333.28125,243
5.555234375,142.03125,411
5.56390625,299.53125,552
5.577734375,188.4375,223
5.626171875,338.90625,60
5.63515625,142.03125,329
5.64578125,333.28125,360
5.65703125,175.78125,173
5.66703125,355.78125,48
5.672265625,90,318
5.68421875,305.15625,685
5.698984375,210.9375,82
5.73140625,75.9375,478
5.767421875,4.21875,279
5.823046875,285.46875,319
5.857265625,181.40625,274
5.894453125,132.1875,209
5.912734375,101.25,44
5.92265625,279.84375,716
5.956171875,163.125,421
5.99046875,60.46875,124
6.029296875,39.375,55
6.06390625,303.75,503
6.113125,109.6875,684
6.125546875,331.875,439
6.14265625,281.25,115
6.15265625,101.25,689
6.1684375,25.3125,142
6.19046875,63.28125,118
6.20828125,22.5,124
6.241328125,257.34375,484
6.253984375,126.5625,577
6.2859375,340.3125,393
