time_s,phase_deg,amp_10bit
0.07046875,47.8125,690
0.07890625,198.28125,724
0.0903125,45,688
0.099140625,202.5,738
0.110078125,40.78125,692
0.11921875,205.3125,706
0.13,39.375,700
0.139296875,206.71875,714
0.149921875,37.96875,687
0.159453125,209.53125,728
0.1696875,33.75,684
0.1796875,213.75,709
0.189609375,32.34375,692
0.199765625,213.75,695
0.209609375,32.34375,690
0.2196875,213.75,724
0.22953125,29.53125,692
0.239921875,217.96875,735
0.249296875,25.3125,690
0.260078125,220.78125,701
0.26921875,25.3125,685
0.28015625,222.1875,730
0.288984375,21.09375,685
0.30046875,226.40625,703
0.308984375,21.09375,692
0.320390625,226.40625,736
0.3284375,11.25,621
0.34109375,237.65625,724
0.3484375,9.84375,694
0.36125,241.875,743
0.36828125,7.03125,697
0.3728125,90,685
0.377890625,180,722
0.381953125,254.53125,701
0.388046875,2.8125,697
0.39203125,74.53125,704
0.398125,185.625,752
0.41140625,63.28125,700
0.418203125,187.03125,704
0.43125,60.46875,690
0.438359375,189.84375,694
0.45125,60.46875,689
0.4584375,189.84375,720
0.4709375,54.84375,681
0.478671875,194.0625,739
0.490625,49.21875,681
0.49890625,198.28125,729
0.5103125,45,684
0.519140625,202.5,705
0.530234375,43.59375,686
0.53921875,205.3125,739
0.549921875,37.96875,687
0.559609375,210.9375,728
0.569765625,35.15625,693
0.5796875,212.34375,741
0.589609375,30.9375,688
0.6,217.96875,750
0.609296875,25.3125,699
0.62015625,220.78125,740
0.629140625,22.5,693
0.640390625,225,741
0.64890625,19.6875,694
0.660625,230.625,743
0.66875,15.46875,700
0.680859375,233.4375,735
0.688671875,14.0625,706
0.7009375,234.84375,741
0.7084375,9.84375,682
0.72140625,243.28125,722
0.72828125,8.4375,689
0.7415625,246.09375,724
0.748203125,5.625,697
0.7521875,77.34375,682
0.75796875,181.40625,696
0.761796875,250.3125,695
0.768125,5.625,695
0.7715625,67.5,633
0.77828125,188.4375,706
0.791015625,57.65625,653
0.79859375,194.0625,703
0.8109375,54.84375,683
0.818671875,194.0625,690
0.8309375,54.84375,697
0.83875,195.46875,711
0.850859375,53.4375,698
0.85875,195.46875,736
0.870625,49.21875,692
0.878984375,199.6875,707
0.89046875,46.40625,681
0.899140625,202.5,716
0.9103125,43.59375,686
0.919296875,205.3125,703
0.930234375,42.1875,689
0.93921875,203.90625,690
0.950234375,42.1875,690
0.959296875,205.3125,718
0.97,37.96875,671
0.979453125,208.125,707
0.98984375,35.15625,674
0.999609375,210.9375,735
1.009609375,30.9375,686
1.01984375,215.15625,690
1.029609375,30.9375,690
1.03984375,215.15625,692
1.049609375,30.9375,685
1.059765625,213.75,681
1.0696875,32.34375,691
1.0796875,212.34375,674
1.089765625,33.75,685
1.099609375,210.9375,688
1.109765625,33.75,683
1.119765625,213.75,714
1.129609375,30.9375,690
1.13984375,215.15625,726
1.14953125,29.53125,689
1.159921875,216.5625,713
1.169375,26.71875,686
1.180078125,219.375,716
1.18921875,23.90625,691
1.200234375,222.1875,728
1.2090625,21.09375,681
1.22046875,226.40625,712
1.228984375,18.28125,687
1.240625,229.21875,753
1.248671875,14.0625,683
1.2609375,234.84375,728
1.268515625,11.25,693
1.281171875,239.0625,736
1.288359375,8.4375,688
1.293203125,95.625,676
1.298046875,182.8125,750
1.302265625,258.75,723
1.3078125,358.59375,690
1.31140625,63.28125,689
1.318515625,189.84375,708
1.331171875,59.0625,682
1.33859375,192.65625,714
1.350859375,53.4375,674
1.35875,195.46875,728
1.370625,49.21875,687
1.37890625,198.28125,724
1.390390625,45,685
1.3990625,201.09375,716
1.41015625,40.78125,681
1.419296875,205.3125,724
1.43,36.5625,674
1.439453125,208.125,703
1.449765625,33.75,679
1.4596875,212.34375,729
1.469609375,29.53125,684
1.479921875,216.5625,742
1.489296875,25.3125,678
1.50015625,220.78125,728
1.5090625,21.09375,677
1.52046875,226.40625,700
1.528984375,18.28125,662
1.540703125,229.21875,734
1.54875,14.0625,685
1.5609375,234.84375,703
1.568671875,14.0625,680
1.581015625,236.25,739
1.5884375,9.84375,684
1.60140625,243.28125,719
1.608359375,8.4375,689
1.612578125,82.96875,676
1.61796875,181.40625,691
1.6215625,246.09375,697
1.62828125,7.03125,687
1.631875,71.71875,653
1.638125,182.8125,713
1.6421875,257.34375,710
1.6478125,358.59375,680
1.651328125,60.46875,669
1.658515625,191.25,727
1.6709375,54.84375,695
1.678671875,194.0625,709
1.690859375,52.03125,684
1.69890625,196.875,738
1.7103125,43.59375,653
1.71921875,202.5,720
1.730078125,37.96875,671
1.739453125,208.125,730
1.74984375,33.75,679
1.7596875,210.9375,683
1.76984375,35.15625,692
1.779609375,210.9375,719
1.7896875,32.34375,684
1.799765625,212.34375,710
1.809609375,30.9375,689
1.81984375,213.75,733
1.829375,26.71875,683
1.840078125,219.375,722
1.849296875,23.90625,687
1.860234375,222.1875,685
1.869296875,23.90625,682
1.8803125,223.59375,698
1.888828125,15.46875,600
1.9009375,234.84375,709
1.90875,14.0625,684
1.9209375,233.4375,720
1.92859375,12.65625,688
1.94109375,237.65625,730
1.9484375,8.4375,687
1.952265625,77.34375,649
1.958125,182.8125,741
1.962421875,261.5625,731
1.9678125,357.1875,679
1.97125,59.0625,648
1.97875,194.0625,725
1.990546875,46.40625,657
1.9990625,199.6875,715
2.0103125,42.1875,673
2.01921875,203.90625,714
2.030078125,37.96875,672
2.039453125,206.71875,707
2.049921875,35.15625,671
2.0596875,210.9375,733
2.069609375,29.53125,678
2.079921875,215.15625,716
2.089453125,26.71875,682
2.100078125,217.96875,717
2.109296875,23.90625,674
2.1203125,222.1875,728
2.129140625,21.09375,690
2.14046875,225,720
2.148984375,18.28125,680
2.16078125,230.625,732
2.16875,14.0625,685
2.181015625,234.84375,732
2.188515625,11.25,681
2.20140625,241.875,741
2.208359375,7.03125,687
2.21234375,78.75,670
2.218125,182.8125,723
2.22234375,260.15625,707
2.227890625,358.59375,678
2.23140625,61.875,676
2.238515625,189.84375,737
2.2509375,53.4375,678
2.258828125,195.46875,723
2.270703125,49.21875,687
2.278984375,198.28125,730
2.290390625,43.59375,670
2.299375,205.3125,744
2.310078125,37.96875,687
2.31953125,208.125,723
2.32984375,33.75,678
2.3396875,210.9375,716
2.3496875,30.9375,687
2.35984375,213.75,713
2.369609375,29.53125,687
2.38,216.5625,719
2.389453125,26.71875,687
2.40015625,219.375,727
2.409296875,23.90625,689
2.4203125,222.1875,719
2.429140625,21.09375,679
2.440546875,225,724
2.448984375,18.28125,684
2.460703125,229.21875,725
2.468828125,15.46875,692
2.4809375,233.4375,735
2.488671875,12.65625,694
2.50109375,234.84375,724
2.50859375,11.25,694
2.52125,239.0625,737
2.5284375,8.4375,692
2.541640625,244.6875,749
2.54828125,4.21875,698
2.552265625,75.9375,697
2.558203125,184.21875,744
2.571484375,63.28125,690
2.5784375,188.4375,708
2.591328125,59.0625,687
2.59859375,189.84375,694
2.611328125,60.46875,693
2.61859375,191.25,725
2.63109375,54.84375,693
2.63875,192.65625,718
2.650859375,50.625,681
2.65890625,196.875,723
2.670625,47.8125,683
2.67921875,201.09375,747
2.690234375,39.375,678
2.699453125,205.3125,723
2.71,36.5625,684
2.7196875,209.53125,739
2.72984375,32.34375,689
2.73984375,213.75,735
2.749609375,28.125,681
2.760078125,216.5625,725
2.769375,25.3125,681
2.7803125,220.78125,726
2.789140625,19.6875,663
2.800625,227.8125,729
2.80890625,15.46875,674
2.8209375,232.03125,730
2.82875,12.65625,681
2.841328125,239.0625,750
2.848359375,5.625,666
2.852109375,73.125,669
2.858203125,182.8125,723
2.8625,260.15625,730
2.867890625,357.1875,689
2.87140625,60.46875,679
2.87859375,191.25,735
2.891015625,53.4375,691
2.898828125,195.46875,730
2.91078125,49.21875,692
2.9190625,199.6875,744
2.93046875,43.59375,680
2.939375,205.3125,743
2.95015625,37.96875,692
2.959453125,206.71875,714
2.970078125,36.5625,690
2.9796875,209.53125,731
2.98984375,33.75,692
2.999921875,215.15625,718
3.009765625,30.9375,689
3.019921875,215.15625,721
3.029609375,28.125,682
3.040078125,216.5625,717
3.049453125,25.3125,684
3.0603125,220.78125,736
3.069296875,22.5,692
3.080546875,225,739
3.089140625,19.6875,701
3.100703125,227.8125,739
3.108984375,16.875,700
3.120859375,230.625,730
3.128828125,14.0625,699
3.14109375,234.84375,743
3.14875,12.65625,706
3.161171875,236.25,730
3.16859375,9.84375,700
3.181328125,239.0625,731
3.188515625,8.4375,706
3.201640625,244.6875,752
3.208359375,5.625,706
3.221796875,247.5,744
3.22828125,4.21875,707
3.232421875,78.75,711
3.238203125,182.8125,745
3.242890625,267.1875,730
3.24796875,358.59375,693
3.2515625,63.28125,704
3.258515625,188.4375,727
3.27140625,60.46875,713
3.27859375,189.84375,722
3.29125,57.65625,703
3.29875,192.65625,727
3.311015625,53.4375,706
3.318828125,194.0625,724
3.3309375,52.03125,700
3.33890625,195.46875,725
3.350703125,47.8125,698
3.359140625,199.6875,728
3.37046875,43.59375,687
3.379296875,202.5,732
3.3903125,40.78125,697
3.399453125,205.3125,719
3.410234375,39.375,703
3.419609375,206.71875,732
3.430078125,36.5625,700
3.4396875,209.53125,721
3.449921875,33.75,699
3.459765625,210.9375,719
3.469921875,33.75,702
3.47984375,212.34375,728
3.489765625,30.9375,690
3.5,215.15625,729
3.5096875,29.53125,704
3.520078125,216.5625,726
3.529609375,28.125,706
3.540390625,220.78125,751
3.549375,22.5,701
3.560625,225,750
3.569140625,19.6875,700
3.580703125,227.8125,719
3.589140625,19.6875,708
3.60078125,229.21875,733
3.6090625,16.875,709
3.6209375,230.625,738
3.628984375,16.875,711
3.641015625,232.03125,732
3.64890625,15.46875,710
3.66109375,234.84375,731
3.668828125,14.0625,709
3.681171875,236.25,727
3.688828125,14.0625,717
3.701171875,234.84375,727
3.708828125,14.0625,717
3.72125,237.65625,741
3.72875,11.25,706
3.741484375,241.875,756
3.748515625,8.4375,720
3.761640625,243.28125,739
3.768515625,7.03125,711
3.781953125,248.90625,754
3.78828125,4.21875,716
3.802265625,254.53125,752
3.808203125,1.40625,713
3.8121875,74.53125,726
3.81828125,182.8125,730
3.831875,67.5,714
3.8384375,185.625,732
3.8515625,63.28125,704
3.85859375,188.4375,725
3.87140625,60.46875,708
3.87875,191.25,729
3.891171875,56.25,706
3.898828125,194.0625,732
3.911015625,53.4375,710
3.918984375,196.875,738
3.93078125,49.21875,703
3.939140625,198.28125,730
3.950546875,45,690
3.959296875,202.5,732
3.970390625,42.1875,697
3.979453125,203.90625,719
3.9903125,39.375,693
3.999609375,206.71875,722
4.009921875,33.75,664
4.019921875,212.34375,731
4.02984375,30.9375,708
4.039921875,213.75,722
4.0496875,29.53125,683
4.06015625,216.5625,722
4.069609375,26.71875,700
4.0803125,219.375,730
4.089453125,25.3125,711
4.10046875,223.59375,758
4.109296875,22.5,717
4.120546875,225,729
4.12921875,19.6875,700
4.14078125,227.8125,739
4.1490625,16.875,700
4.161015625,232.03125,740
4.168828125,14.0625,697
4.181171875,236.25,732
4.188828125,12.65625,714
4.20125,236.25,735
4.208671875,11.25,711
4.22140625,239.0625,741
4.22859375,8.4375,708
4.233203125,91.40625,665
4.238125,181.40625,737
4.242421875,258.75,736
4.248046875,360,701
4.251796875,67.5,709
4.25859375,188.4375,760
4.27125,57.65625,695
4.278828125,192.65625,730
4.291015625,52.03125,693
4.29890625,195.46875,720
4.31078125,47.8125,686
4.319140625,199.6875,731
4.330546875,43.59375,684
4.339375,202.5,727
4.3503125,39.375,684
4.359609375,206.71875,725
4.37015625,36.5625,700
4.3796875,209.53125,732
4.39,33.75,695
4.399921875,212.34375,738
4.409765625,30.9375,698
4.420078125,215.15625,731
4.429609375,26.71875,693
4.4403125,219.375,739
4.449453125,25.3125,700
4.46046875,222.1875,735
4.469375,22.5,699
4.480625,225,733
4.48921875,19.6875,703
4.50078125,227.8125,739
4.5090625,18.28125,705
4.520859375,230.625,736
4.528984375,15.46875,705
4.54109375,233.4375,736
4.548828125,12.65625,707
4.561171875,236.25,732
4.56875,11.25,708
4.581328125,237.65625,738
4.588671875,11.25,722
4.60140625,239.0625,744
4.60859375,8.4375,703
4.62171875,246.09375,754
4.628359375,5.625,707
4.63234375,75.9375,691
4.638203125,182.8125,730
4.6425,258.75,726
4.64796875,358.59375,683
4.6515625,63.28125,696
4.658671875,189.84375,740
4.671171875,54.84375,690
4.678984375,195.46875,718
4.6909375,50.625,687
4.698984375,196.875,723
4.710703125,46.40625,686
4.71921875,201.09375,735
4.73046875,42.1875,684
4.739453125,203.90625,725
4.750234375,37.96875,687
4.759609375,208.125,726
4.77,33.75,684
4.77984375,210.9375,725
4.78984375,30.9375,690
4.799921875,213.75,714
4.809765625,29.53125,695
4.82,213.75,708
4.8296875,29.53125,695
4.840078125,215.15625,713
4.8496875,28.125,641
4.860390625,220.78125,708
4.869296875,22.5,691
4.880546875,223.59375,722
4.88921875,21.09375,695
4.900625,225,717
4.90921875,19.6875,703
4.920625,225,711
4.92921875,19.6875,706
4.94078125,227.8125,735
4.9490625,16.875,697
4.9609375,230.625,735
4.96890625,14.0625,695
4.98109375,233.4375,727
4.988828125,12.65625,705
5.00125,236.25,735
5.008671875,9.84375,700
5.021484375,240.46875,743
5.028515625,8.4375,706
5.032109375,71.71875,611
5.038359375,184.21875,727
5.051640625,63.28125,703
5.058515625,187.03125,717
5.071484375,60.46875,698
5.07859375,188.4375,714
5.09125,57.65625,691
5.09875,191.25,719
5.11109375,53.4375,690
5.11890625,194.0625,719
5.130859375,49.21875,651
5.13921875,199.6875,714
5.15046875,42.1875,684
5.159375,202.5,716
5.170234375,37.96875,674
5.179609375,206.71875,716
5.19,33.75,674
5.19984375,210.9375,715
5.20984375,30.9375,676
5.22,215.15625,722
5.229609375,26.71875,668
5.240234375,217.96875,713
5.249375,23.90625,676
5.260390625,222.1875,716
5.26921875,19.6875,668
5.280703125,226.40625,724
5.2890625,16.875,687
5.3009375,230.625,727
5.308828125,12.65625,668
5.321171875,234.84375,714
5.328671875,9.84375,684
5.34140625,239.0625,735
5.348515625,7.03125,686
5.36171875,246.09375,751
5.36828125,2.8125,686
5.372578125,80.15625,722
5.378203125,181.40625,693
5.381875,247.5,710
5.388359375,4.21875,692
5.392578125,80.15625,682
5.39828125,182.8125,726
5.402890625,265.78125,727
5.408046875,358.59375,701
5.41171875,64.6875,701
5.418515625,187.03125,715
5.43140625,59.0625,683
5.43875,191.25,727
5.45109375,53.4375,687
5.458828125,192.65625,713
5.4709375,50.625,682
5.479140625,198.28125,733
5.490625,45,692
5.499296875,201.09375,716
5.510390625,40.78125,674
5.519453125,203.90625,693
5.53046875,42.1875,699
5.539453125,203.90625,723
5.5503125,39.375,686
5.559609375,205.3125,714
5.57015625,36.5625,684
5.5796875,208.125,714
5.59,33.75,683
5.59984375,210.9375,711
5.609921875,32.34375,684
5.62,213.75,734
5.6296875,28.125,692
5.640234375,217.96875,726
5.64953125,25.3125,690
5.6603125,219.375,716
5.669453125,23.90625,695
5.68046875,222.1875,704
5.689453125,23.90625,689
5.70046875,222.1875,720
5.709296875,21.09375,688
5.720625,225,719
5.72921875,19.6875,692
5.741015625,230.625,743
5.748984375,14.0625,688
5.761171875,233.4375,747
5.76875,11.25,700
5.781328125,237.65625,723
5.78875,11.25,686
5.8015625,241.875,736
5.8084375,5.625,695
5.812890625,85.78125,693
5.81828125,182.8125,745
5.82234375,255.9375,714
5.828203125,0,702
5.83203125,68.90625,708
5.838359375,184.21875,717
5.843046875,268.59375,717
5.848046875,358.59375,702
5.85171875,64.6875,706
5.85859375,188.4375,735
5.87125,56.25,674
5.878828125,192.65625,706
5.89109375,53.4375,695
5.898984375,194.0625,725
5.9109375,50.625,697
5.9190625,196.875,724
5.93078125,47.8125,689
5.939140625,198.28125,701
5.950625,45,681
5.959296875,199.6875,705
5.970546875,43.59375,700
5.979375,201.09375,715
5.990546875,42.1875,697
5.999453125,203.90625,720
6.0103125,39.375,692
6.01953125,205.3125,709
6.0303125,37.96875,694
6.039609375,206.71875,709
6.05015625,36.5625,689
6.0596875,206.71875,698
6.07015625,35.15625,682
6.079765625,209.53125,713
6.09,33.75,696
6.09984375,209.53125,709
6.11,32.34375,690
6.12,212.34375,719
6.12984375,30.9375,697
6.140078125,213.75,713
6.14984375,29.53125,701
6.160078125,215.15625,715
6.1696875,26.71875,681
6.1803125,217.96875,718
6.189609375,25.3125,695
6.200390625,220.78125,714
6.209453125,23.90625,697
6.22046875,222.1875,720
6.229453125,23.90625,713
6.24046875,220.78125,717
6.249453125,22.5,702
6.260546875,222.1875,717
6.269296875,21.09375,679
6.280703125,226.40625,720
6.28921875,19.6875,697
6.300859375,227.8125,732
6.309140625,16.875,703
6.3209375,229.21875,720
6.3290625,15.46875,693
6.34109375,232.03125,725
6.348984375,14.0625,698
6.361171875,234.84375,725
6.368828125,12.65625,705
6.38125,236.25,726
6.38875,11.25,700
6.401484375,239.0625,732
6.408671875,9.84375,708
6.4215625,240.46875,728
6.42859375,8.4375,701
6.441640625,241.875,720
6.448671875,8.4375,679
6.461953125,248.90625,735
6.4684375,4.21875,708
6.472578125,78.75,708
6.47828125,181.40625,724
6.48234375,255.9375,726
6.488203125,0,697
6.491953125,67.5,711
6.4984375,184.21875,720
6.51171875,64.6875,699
6.51859375,187.03125,712
6.531484375,59.0625,689
6.53875,189.84375,714
6.551328125,56.25,700
6.55890625,192.65625,722
6.571015625,50.625,675
6.5790625,196.875,716
6.590859375,47.8125,688
6.59921875,198.28125,715
6.610703125,45,692
6.619453125,202.5,736
6.630390625,39.375,679
6.639609375,205.3125,714
6.6503125,37.96875,692
6.6596875,206.71875,717
6.67015625,35.15625,692
6.67984375,209.53125,713
6.690078125,33.75,691
6.699921875,210.9375,716
6.710078125,33.75,688
6.72015625,216.5625,736
6.729765625,29.53125,713
6.740234375,216.5625,720
6.74984375,29.53125,712
6.760234375,216.5625,715
6.76984375,29.53125,723
6.78015625,215.15625,716
6.789765625,29.53125,701
6.800234375,216.5625,692
6.809921875,32.34375,690
6.820234375,216.5625,717
6.82984375,29.53125,689
6.8403125,217.96875,720
6.8496875,26.71875,695
6.860625,223.59375,747
6.869453125,22.5,709
6.880703125,225,722
6.889375,21.09375,703
6.90078125,226.40625,727
6.909296875,19.6875,710
6.920859375,227.8125,732
6.929296875,19.6875,724
6.940859375,227.8125,695
6.949375,21.09375,679
6.9609375,229.21875,727
6.96921875,18.28125,697
6.98109375,232.03125,733
6.989140625,16.875,694
7.00140625,237.65625,762
7.00890625,12.65625,732
7.02140625,236.25,735
