time_s,phase_deg,amp_10bit
0.066328125,143.4375,33
0.0740625,282.65625,38
0.0890625,192.65625,8
0.09125,232.03125,10
0.1471875,157.5,21
0.19828125,357.1875,43
0.20359375,94.21875,427
0.20375,95.625,13
0.20859375,182.8125,49
0.240703125,40.78125,186
0.2465625,146.25,25
0.276953125,333.28125,20
0.285390625,123.75,39
0.295390625,305.15625,40
0.3084375,178.59375,8
0.354921875,296.71875,15
0.366015625,135,35
0.37015625,209.53125,23
0.420546875,36.5625,137
0.42640625,142.03125,27
0.445703125,129.375,446
0.456875,329.0625,543
0.465390625,122.34375,404
0.47640625,322.03125,539
0.476640625,326.25,19
0.48609375,136.40625,277
0.495859375,312.1875,494
0.49625,319.21875,16
0.505703125,127.96875,174
0.506171875,137.8125,27
0.514765625,292.5,496
0.537578125,343.125,17
0.596484375,322.03125,330
0.6025,70.3125,411
0.609140625,189.84375,43
0.70265625,71.71875,11
0.756484375,320.625,23
0.76453125,105.46875,36
0.77515625,296.71875,38
0.78578125,126.5625,38
0.79171875,234.84375,50
0.854140625,277.03125,7
0.870078125,205.3125,7
0.910859375,217.96875,7
0.969921875,201.09375,8
1.033046875,255.9375,10
1.050078125,202.5,13
1.105703125,122.34375,24
1.11734375,331.875,11
1.1221875,60.46875,22
1.15828125,348.75,7
1.24640625,135,16
1.256328125,312.1875,36
1.266796875,142.03125,15
1.275546875,299.53125,36
1.28609375,129.375,40
1.2953125,293.90625,40
1.306484375,136.40625,42
1.316015625,307.96875,11
1.380390625,25.3125,10
1.4621875,57.65625,7
1.494609375,281.25,45
1.509140625,181.40625,13
1.56734375,149.0625,20
1.57421875,272.8125,30
1.5909375,212.34375,8
1.666171875,127.96875,8
1.6746875,279.84375,15
1.686484375,132.1875,28
1.6903125,201.09375,18
1.814296875,271.40625,11
2.10640625,127.96875,12
2.112265625,233.4375,18
2.134296875,270,12
2.353203125,248.90625,492
2.358671875,347.34375,35
2.383984375,82.96875,7
2.3975,326.25,31
2.404296875,87.1875,25
2.480546875,18.28125,7
2.5240625,81.5625,10
2.5409375,25.3125,12
2.557890625,330.46875,20
2.5665625,126.5625,32
2.575546875,288.28125,39
2.58828125,157.5,17
2.592578125,233.4375,7
2.6478125,149.0625,20
2.658046875,331.875,9
2.6659375,115.3125,16
2.677890625,329.0625,43
2.688125,153.28125,12
2.80359375,70.3125,23
2.857578125,322.03125,20
2.861953125,40.78125,9
2.9175,319.21875,25
2.9265625,122.34375,35
2.9340625,257.34375,38
2.968984375,165.9375,16
3.05453125,264.375,11
3.0684375,156.09375,21
3.193984375,254.53125,36
3.2115625,209.53125,7
3.21359375,246.09375,11
3.298671875,337.5,10
3.4,0,14
3.41421875,257.34375,19
3.48265625,47.8125,21
3.53375,246.09375,17
3.550390625,185.625,12
3.56296875,52.03125,10
3.798203125,324.84375,41
3.801015625,15.46875,18
3.848828125,154.6875,174
3.84921875,161.71875,26
3.8503125,182.8125,14
3.851875,209.53125,110
3.857734375,315,52
3.926328125,109.6875,487
3.926484375,111.09375,13
3.931328125,199.6875,82
4.038046875,319.21875,193
4.044609375,77.34375,831
4.049453125,164.53125,67
4.235625,274.21875,18
4.2496875,167.34375,29
4.29765625,309.375,392
4.3075,126.5625,716
4.307578125,127.96875,18
4.3084375,143.4375,68
4.316953125,296.71875,665
4.32921875,157.5,245
4.329921875,170.15625,60
4.338046875,316.40625,349
4.345859375,97.03125,252
4.3525,216.5625,49
4.618359375,319.21875,22
4.626640625,108.28125,48
4.673046875,222.1875,164
4.6784375,319.21875,85
4.68515625,80.15625,30
4.70171875,18.28125,11
4.7415625,15.46875,7
4.76578125,91.40625,28
4.83390625,236.25,312
4.83828125,316.40625,106
4.9040625,59.0625,458
4.90859375,140.625,40
4.9259375,92.8125,10
4.940546875,355.78125,9
5.056953125,289.6875,37
5.0653125,80.15625,38
5.078984375,326.25,40
5.08828125,133.59375,40
5.09484375,251.71875,47
5.113515625,227.8125,7
5.1715625,191.25,9
5.235546875,262.96875,11
5.25046875,171.5625,24
5.29953125,334.6875,205
5.303359375,43.59375,522
5.3084375,133.59375,28
5.32359375,47.8125,9
