time_s,phase_deg,amp_10bit
0.08265625,234.84375,7
0.0828125,237.65625,27
0.082890625,237.65625,23
0.08296875,239.0625,20
0.083046875,241.875,21
0.083125,243.28125,26
0.083203125,243.28125,14
0.08328125,246.09375,23
0.083359375,246.09375,25
0.0834375,248.90625,26
0.083515625,250.3125,45
0.08359375,251.71875,47
0.083671875,253.125,45
0.08375,254.53125,54
0.083828125,254.53125,55
0.08390625,257.34375,61
0.083984375,257.34375,70
0.0840625,260.15625,51
0.084140625,261.5625,64
0.08421875,261.5625,68
0.084296875,264.375,57
0.084375,265.78125,59
0.084453125,267.1875,68
0.08453125,267.1875,74
0.084609375,270,68
0.0846875,271.40625,47
0.084765625,272.8125,63
0.08484375,274.21875,56
0.084921875,275.625,35
0.085,277.03125,28
0.085078125,277.03125,46
0.08515625,279.84375,59
0.085234375,281.25,54
0.0853125,282.65625,60
0.085390625,284.0625,58
0.08546875,285.46875,64
0.085546875,285.46875,69
0.085625,288.28125,63
0.085703125,289.6875,32
0.08578125,289.6875,53
0.085859375,292.5,59
0.0859375,293.90625,57
0.086015625,295.3125,27
0.08609375,296.71875,47
0.086171875,296.71875,19
0.08625,298.125,18
0.086328125,299.53125,10
0.08640625,302.34375,22
0.086484375,303.75,10
0.1028125,237.65625,32
0.102890625,239.0625,34
0.10296875,240.46875,23
0.103046875,241.875,21
0.103125,241.875,23
0.103203125,244.6875,21
0.10328125,246.09375,25
0.103359375,246.09375,22
0.1034375,248.90625,32
0.103515625,250.3125,56
0.10359375,251.71875,61
0.103671875,251.71875,53
0.10375,253.125,28
0.103828125,255.9375,69
0.10390625,255.9375,56
0.103984375,258.75,53
0.1040625,260.15625,63
0.104140625,261.5625,61
0.10421875,261.5625,68
0.104296875,264.375,60
0.104375,264.375,75
0.104453125,267.1875,52
0.10453125,268.59375,41
0.104609375,270,63
0.1046875,271.40625,64
0.104765625,272.8125,65
0.10484375,274.21875,64
0.104921875,274.21875,61
0.105,277.03125,71
0.105078125,278.4375,56
0.10515625,278.4375,56
0.105234375,279.84375,51
0.1053125,281.25,55
0.105390625,284.0625,53
0.10546875,284.0625,68
0.105546875,286.875,61
0.105625,286.875,54
0.105703125,288.28125,61
0.10578125,289.6875,72
0.105859375,292.5,51
0.1059375,293.90625,57
0.106015625,293.90625,54
0.10609375,296.71875,48
0.106171875,298.125,50
0.10625,298.125,24
0.106328125,299.53125,49
0.10640625,302.34375,14
0.106484375,303.75,8
0.122890625,239.0625,35
0.12296875,240.46875,68
0.123046875,241.875,58
0.123125,243.28125,31
0.123203125,244.6875,74
0.12328125,246.09375,29
0.123359375,247.5,20
0.1234375,248.90625,56
0.123515625,250.3125,50
0.12359375,251.71875,50
0.123671875,251.71875,65
0.12375,254.53125,58
0.123828125,255.9375,57
0.12390625,257.34375,70
0.123984375,258.75,65
0.1240625,260.15625,48
0.124140625,260.15625,60
0.12421875,262.96875,66
0.124296875,264.375,61
0.124375,265.78125,67
0.124453125,265.78125,71
0.12453125,268.59375,66
0.124609375,270,67
0.1246875,270,66
0.124765625,272.8125,70
0.12484375,274.21875,74
0.124921875,275.625,56
0.125,277.03125,65
0.125078125,277.03125,69
0.12515625,279.84375,57
0.125234375,281.25,60
0.1253125,282.65625,77
0.125390625,284.0625,55
0.12546875,284.0625,63
0.125546875,286.875,60
0.125625,288.28125,58
0.125703125,289.6875,39
0.12578125,291.09375,66
0.125859375,291.09375,63
0.1259375,293.90625,63
0.126015625,295.3125,35
0.12609375,296.71875,55
0.126171875,296.71875,36
0.12625,299.53125,31
0.126328125,299.53125,32
0.12640625,300.9375,15
0.126484375,302.34375,10
0.1265625,303.75,18
0.142890625,239.0625,65
0.14296875,240.46875,29
0.143046875,241.875,44
0.143125,243.28125,49
0.143203125,244.6875,64
0.14328125,246.09375,70
0.143359375,247.5,56
0.1434375,247.5,66
0.143515625,248.90625,42
0.14359375,251.71875,60
0.143671875,253.125,65
0.14375,254.53125,62
0.143828125,255.9375,64
0.14390625,257.34375,71
0.143984375,258.75,72
0.1440625,260.15625,63
0.144140625,261.5625,63
0.14421875,262.96875,52
0.144296875,264.375,62
0.144375,265.78125,49
0.144453125,267.1875,65
0.14453125,268.59375,67
0.144609375,270,70
0.1446875,271.40625,74
0.144765625,272.8125,63
0.14484375,274.21875,56
0.144921875,275.625,69
0.145,277.03125,57
0.145078125,278.4375,67
0.14515625,279.84375,74
0.145234375,281.25,70
0.1453125,282.65625,61
0.145390625,284.0625,71
0.14546875,285.46875,46
0.145546875,286.875,59
0.145625,288.28125,65
0.145703125,289.6875,62
0.14578125,289.6875,66
0.145859375,292.5,52
0.1459375,293.90625,61
0.146015625,295.3125,38
0.14609375,296.71875,45
0.146171875,298.125,22
0.14625,299.53125,35
0.146328125,300.9375,16
0.15328125,66.09375,9
0.162890625,237.65625,6
0.163046875,241.875,70
0.163125,241.875,73
0.163203125,243.28125,63
0.16328125,244.6875,75
0.163359375,247.5,43
0.1634375,248.90625,62
0.163515625,250.3125,76
0.16359375,250.3125,65
0.163671875,251.71875,63
0.16375,253.125,75
0.163828125,255.9375,72
0.16390625,255.9375,58
0.163984375,257.34375,67
0.1640625,260.15625,71
0.164140625,261.5625,82
0.16421875,262.96875,79
0.164296875,264.375,76
0.164375,265.78125,67
0.164453125,267.1875,69
0.16453125,268.59375,70
0.164609375,270,75
0.1646875,271.40625,69
0.164765625,271.40625,77
0.16484375,274.21875,58
0.164921875,275.625,74
0.165,277.03125,78
0.165078125,278.4375,69
0.16515625,278.4375,57
0.165234375,279.84375,73
0.1653125,281.25,62
0.165390625,284.0625,57
0.16546875,285.46875,52
0.165546875,286.875,51
0.165625,288.28125,58
0.165703125,289.6875,61
0.16578125,291.09375,52
0.165859375,292.5,61
0.1659375,293.90625,69
0.166015625,295.3125,35
0.16609375,296.71875,48
0.166171875,298.125,21
0.16625,299.53125,46
0.166328125,300.9375,11
0.183046875,241.875,78
0.183125,243.28125,58
0.183203125,243.28125,66
0.18328125,246.09375,66
0.183359375,247.5,81
0.1834375,248.90625,54
0.183515625,250.3125,70
0.18359375,251.71875,61
0.183671875,253.125,59
0.18375,254.53125,69
0.183828125,255.9375,59
0.18390625,255.9375,75
0.183984375,258.75,68
0.1840625,258.75,72
0.184140625,260.15625,66
0.18421875,262.96875,66
0.184296875,264.375,73
0.184375,265.78125,62
0.184453125,267.1875,71
0.18453125,268.59375,69
0.184609375,270,81
0.1846875,271.40625,62
0.184765625,272.8125,78
0.18484375,274.21875,76
0.184921875,274.21875,66
0.185,277.03125,80
0.185078125,278.4375,69
0.18515625,279.84375,83
0.185234375,281.25,84
0.1853125,281.25,42
0.185390625,284.0625,75
0.18546875,285.46875,83
0.185546875,286.875,75
0.185625,288.28125,64
0.185703125,289.6875,61
0.18578125,289.6875,65
0.185859375,292.5,37
0.1859375,293.90625,31
0.186015625,295.3125,61
0.18609375,295.3125,72
0.186171875,298.125,41
0.18625,298.125,65
0.186328125,300.9375,27
0.18640625,302.34375,9
0.186484375,302.34375,7
0.203046875,240.46875,7
0.203203125,243.28125,79
0.20328125,246.09375,84
0.203359375,247.5,28
0.2034375,248.90625,29
0.203515625,250.3125,52
0.20359375,251.71875,56
0.203671875,253.125,52
0.20375,254.53125,53
0.203828125,255.9375,62
0.20390625,257.34375,61
0.203984375,258.75,65
0.2040625,260.15625,73
0.204140625,261.5625,74
0.20421875,262.96875,74
0.204296875,264.375,86
0.204375,265.78125,75
0.204453125,267.1875,65
0.20453125,267.1875,69
0.204609375,270,68
0.2046875,271.40625,72
0.204765625,271.40625,66
0.20484375,274.21875,46
0.204921875,274.21875,80
0.205,277.03125,75
0.205078125,278.4375,87
0.20515625,279.84375,62
0.205234375,281.25,76
0.2053125,282.65625,64
0.205390625,284.0625,64
0.20546875,284.0625,20
0.205546875,285.46875,26
0.205625,288.28125,19
0.205703125,289.6875,15
0.20578125,291.09375,21
0.205859375,292.5,23
0.2059375,293.90625,14
0.206015625,295.3125,16
0.20609375,296.71875,26
0.206171875,298.125,16
0.20625,298.125,10
0.206328125,299.53125,16
0.20640625,302.34375,15
0.206484375,303.75,11
0.2065625,305.15625,6
0.222734375,236.25,30
0.2228125,237.65625,22
0.222890625,237.65625,16
0.22296875,240.46875,17
0.223046875,241.875,13
0.223125,243.28125,19
0.223203125,244.6875,15
0.22328125,246.09375,13
0.223359375,247.5,16
0.2234375,248.90625,21
0.223515625,250.3125,16
0.22359375,251.71875,19
0.223671875,253.125,37
0.22375,254.53125,23
0.223828125,255.9375,19
0.22390625,257.34375,22
0.223984375,258.75,26
0.2240625,260.15625,44
0.224140625,261.5625,18
0.22421875,261.5625,22
0.224296875,264.375,22
0.224375,265.78125,23
0.224453125,267.1875,40
0.22453125,268.59375,28
0.224609375,268.59375,28
0.2246875,271.40625,32
0.224765625,272.8125,44
0.22484375,274.21875,22
0.224921875,275.625,31
0.225,277.03125,26
0.225078125,278.4375,27
0.22515625,279.84375,35
0.225234375,281.25,26
0.2253125,282.65625,43
0.225390625,282.65625,43
0.22546875,285.46875,33
0.225546875,286.875,21
0.225625,288.28125,22
0.225703125,289.6875,22
0.22578125,289.6875,44
0.225859375,292.5,28
0.2259375,293.90625,28
0.226015625,295.3125,17
0.22609375,296.71875,18
0.226171875,298.125,13
0.22625,299.53125,14
0.226328125,300.9375,10
0.22640625,300.9375,10
